Out X,Out Y
0,128
5e-06,128
1e-05,129
1.5e-05,130
2e-05,132
2.5e-05,135
3e-05,135
3.5e-05,136
4e-05,139
4.5e-05,140
5e-05,141
5.5e-05,143
6e-05,144
6.500000000000001e-05,146
7.000000000000001e-05,147
7.500000000000001e-05,148
8.000000000000001e-05,151
8.500000000000001e-05,153
9.000000000000001e-05,152
9.500000000000001e-05,153
0.0001,157
0.000105,159
0.00011,159
0.000115,158
0.00012,162
0.000125,165
0.00013,165
0.000135,165
0.00014,166
0.000145,170
0.00015,171
0.000155,171
0.00016,172
0.000165,174
0.00017,176
0.000175,178
0.00018,177
0.000185,179
0.00019,182
0.000195,182
0.0002,182
0.000205,185
0.00021,186
0.000215,187
0.00022,188
0.000225,189
0.00023,190
0.000235,193
0.00024,193
0.000245,193
0.0002500000000000001,194
0.000255,197
0.00026,199
0.000265,197
0.0002700000000000001,198
0.000275,202
0.00028,202
0.000285,201
0.0002900000000000001,203
0.000295,205
0.0003,206
0.000305,206
0.0003100000000000001,206
0.000315,209
0.00032,209
0.000325,209
0.0003300000000000001,210
0.0003350000000000001,213
0.00034,212
0.000345,212
0.0003500000000000001,213
0.0003550000000000001,216
0.00036,215
0.000365,215
0.00037,216
0.0003750000000000001,218
0.00038,219
0.000385,217
0.00039,219
0.0003950000000000001,219
0.0004,221
0.000405,221
0.00041,221
0.0004150000000000001,221
0.0004200000000000001,222
0.000425,223
0.00043,223
0.0004350000000000001,222
0.0004400000000000001,225
0.000445,224
0.00045,224
0.0004550000000000001,224
0.0004600000000000001,225.9999999999999
0.000465,225
0.00047,225
0.0004750000000000001,225
0.0004800000000000001,226.9999999999999
0.0004850000000000001,225.9999999999999
0.00049,225
0.0004950000000000001,226.9999999999999
0.0005,225.9999999999999
0.000505,226.9999999999999
0.00051,225.9999999999999
0.000515,225.9999999999999
0.0005200000000000001,226.9999999999999
0.0005250000000000001,226.9999999999999
0.0005300000000000001,225.9999999999999
0.0005350000000000001,225
0.00054,228
0.000545,225.9999999999999
0.00055,225
0.000555,225.9999999999999
0.0005600000000000001,225.9999999999999
0.0005650000000000001,225.9999999999999
0.0005700000000000001,224
0.0005750000000000001,225
0.0005800000000000001,225.9999999999999
0.000585,224
0.00059,223
0.000595,224
0.0006000000000000001,225
0.0006050000000000001,222
0.0006100000000000001,222
0.0006150000000000001,222
0.0006200000000000001,222
0.000625,222
0.00063,220
0.000635,220
0.0006400000000000001,220
0.0006450000000000001,219
0.0006500000000000001,219
0.0006550000000000001,217
0.0006600000000000001,217
0.0006650000000000001,218
0.00067,215
0.000675,215
0.00068,215
0.0006850000000000001,214
0.0006900000000000001,212
0.0006950000000000001,213
0.0007000000000000001,212
0.0007050000000000001,210
0.00071,210
0.000715,209
0.00072,208
0.0007250000000000001,208
0.0007300000000000001,205
0.0007350000000000001,206
0.0007400000000000001,205
0.0007450000000000001,204
0.0007500000000000001,201
0.000755,202
0.00076,201
0.0007650000000000001,199
0.0007700000000000001,199
0.0007750000000000001,197
0.0007800000000000001,196
0.0007850000000000001,195
0.0007900000000000001,195
0.000795,194
0.0008,190
0.0008050000000000001,190
0.0008100000000000001,191
0.0008150000000000001,189
0.0008200000000000001,187
0.0008250000000000001,184
0.0008300000000000001,185
0.0008350000000000001,185
0.00084,182
0.000845,180
0.0008500000000000001,179
0.0008550000000000001,179
0.0008600000000000001,178
0.0008650000000000001,175
0.0008700000000000001,174
0.0008750000000000001,173
0.00088,172
0.000885,171
0.0008900000000000001,168
0.0008950000000000001,167
0.0009000000000000001,167
0.0009050000000000001,165
0.0009100000000000001,164
0.0009150000000000001,161
0.0009200000000000001,160
0.000925,160
0.0009300000000000001,158
0.0009350000000000001,155
0.0009400000000000001,155
0.0009450000000000001,155
0.0009500000000000001,151
0.0009550000000000001,150
0.0009600000000000001,148
0.0009650000000000001,149
0.0009700000000000001,146
0.0009750000000000001,144
0.00098,142
0.0009850000000000002,142
0.00099,142
0.000995,138
0.001,135
0.001005,135
0.00101,136
0.001015,133
0.00102,130
0.001025,128
0.00103,129
0.001035,128
0.00104,124
0.001045,122
0.00105,123
0.001055,121
0.00106,118
0.001065,117
0.00107,117
0.001075,115
0.00108,111
0.001085,112
0.00109,110
0.001095,109
0.0011,107
0.001105,105
0.00111,104
0.001115,102
0.00112,102
0.001125,99.99999999999999
0.00113,98
0.001135,96
0.00114,95
0.001145,95
0.00115,93
0.001155,91
0.00116,88
0.001165,89
0.00117,88
0.001175,85
0.00118,84
0.001185,83.00000000000001
0.00119,82.00000000000001
0.001195,80
0.0012,78
0.001205,78
0.00121,78
0.001215,74
0.00122,72
0.001225,74
0.00123,72
0.001235,70
0.00124,67.00000000000001
0.001245,68
0.00125,68
0.001255,65
0.00126,63
0.001265,63
0.00127,61.99999999999999
0.001275,61.99999999999999
0.00128,59
0.001285,56.99999999999999
0.00129,58
0.001295,58
0.0013,55.99999999999999
0.001305,51.99999999999999
0.00131,53
0.001315,54
0.00132,51.99999999999999
0.001325,49.99999999999999
0.00133,49
0.001335,49
0.00134,48
0.001345,47
0.00135,46
0.001355,45
0.00136,45
0.001365,43
0.00137,43
0.001375,43
0.00138,41.00000000000001
0.001385,41.00000000000001
0.00139,39
0.001395,40
0.0014,39
0.001405,37
0.00141,38
0.001415,38
0.00142,36
0.001425,35
0.00143,35
0.001435,35
0.00144,35
0.001445,34
0.00145,33
0.001455,33
0.00146,32
0.001465,33
0.00147,31
0.001475,32
0.00148,32
0.001485,31
0.00149,30
0.001495,31
0.0015,31
0.001505,30
0.00151,29
0.001515,30
0.00152,30
0.001525,30
0.00153,30
0.001535,29
0.00154,30
0.001545,29
0.00155,29
0.001555,30
0.00156,31
0.001565,30
0.00157,28
0.001575,29
0.00158,32
0.001585,33
0.00159,29
0.001595,28
0.0016,31
0.001605,34
0.00161,34
0.001615,30
0.00162,29
