spectrum_vin (va=0.05) X,spectrum_vin (va=0.05) Y,spectrum_vin (va=0.02) X,spectrum_vin (va=0.02) Y,spectrum_vin (va=0.1) X,spectrum_vin (va=0.1) Y
6640.624999999999,-302.7339689893632,6640.624999999999,-310.6915494969152,6640.624999999999,-296.7133690760836
6738.281249999999,-302.8935044010614,6738.281249999999,-310.8592977491621,6738.281249999999,-296.8729044877818
6835.937499999999,-302.9677689349325,6835.937499999999,-310.9260407030853,6835.937499999999,-296.9471690216528
6933.593749999999,-303.1422717270106,6933.593749999999,-311.1150043523519,6933.593749999999,-297.121671813731
7031.249999999999,-303.3049343029183,7031.249999999999,-311.2691833932548,7031.249999999999,-297.2843343896387
7128.906249999999,-303.341623003094,7128.906249999999,-311.3036239199004,7128.906249999999,-297.3210230898143
7226.562499999999,-303.4725207917606,7226.562499999999,-311.4315761170765,7226.562499999999,-297.451920878481
7324.218749999999,-303.7047934210209,7324.218749999999,-311.6664900731589,7324.218749999999,-297.6841935077413
7421.874999999999,-303.6745344083472,7421.874999999999,-311.6290808729631,7421.874999999999,-297.6539344950676
7519.531249999999,-303.7590874780181,7519.531249999999,-311.7075048366,7519.531249999999,-297.7384875647385
7617.187499999999,-303.8176988524743,7617.187499999999,-311.7729740770444,7617.187499999999,-297.7970989391947
7714.843749999999,-303.9943920824039,7714.843749999999,-311.9358227110408,7714.843749999999,-297.9737921691243
7812.499999999999,-304.2310354163786,7812.499999999999,-312.1923160333501,7812.499999999999,-298.2104355030989
7910.156249999999,-304.2219469357827,7910.156249999999,-312.1786152524088,7910.156249999999,-298.2013470225031
8007.812499999999,-304.370763070786,8007.812499999999,-312.3262713675722,8007.812499999999,-298.3501631575064
8105.468749999999,-304.4932574032933,8105.468749999999,-312.4500844983361,8105.468749999999,-298.4726574900137
8203.124999999998,-304.5542485201258,8203.124999999998,-312.512175907935,8203.124999999998,-298.5336486068462
8300.781249999998,-304.7164184793746,8300.781249999998,-312.6848807417591,8300.781249999998,-298.6958185660949
8398.437499999998,-304.8000618361315,8398.437499999998,-312.7577498363817,8398.437499999998,-298.7794619228519
