spectrum_Out (va=0.02) X,spectrum_Out (va=0.02) Y,spectrum_Out (va=0.05) X,spectrum_Out (va=0.05) Y,spectrum_Out (va=0.1) X,spectrum_Out (va=0.1) Y
0,42.14406685578838,0,42.14436506157469,0,42.14433192810401
97.65624999999999,-50.27871589129824,97.65624999999999,-48.71851156208856,97.65624999999999,-59.5339917591227
195.3125,-47.4646886694573,195.3125,-47.61343548193665,195.3125,-68.07446143165357
292.9687499999999,-54.10698468660316,292.9687499999999,-48.4946186902014,292.9687499999999,-54.45508867758332
390.6249999999999,-43.97775017622842,390.6249999999999,-48.40270246802624,390.6249999999999,-55.27687518468469
488.2812499999999,-50.53545066100951,488.2812499999999,-47.06130264913456,488.2812499999999,-55.32254134095112
585.9374999999999,-50.18765408990465,585.9374999999999,-65.74885555472542,585.9374999999999,-70.63574460283256
683.5937499999999,25.23862736157115,683.5937499999999,33.20122099099448,683.5937499999999,39.22247388498003
781.2499999999999,-51.61003406681138,781.2499999999999,-57.44080639985477,781.2499999999999,-51.53201223272012
878.9062499999999,-56.41658136782505,878.9062499999999,-52.961202276036,878.9062499999999,-56.61020072610854
976.5624999999999,-59.44548637395337,976.5624999999999,-52.27859346547015,976.5624999999999,-51.48300075505109
1074.21875,-50.55391601462344,1074.21875,-43.43067885335942,1074.21875,-54.01124356623196
1171.875,-45.40441770310126,1171.875,-48.33765560255589,1171.875,-61.95356986536914
1269.53125,-47.71705085725625,1269.53125,-49.31525691431179,1269.53125,-54.56666192479262
1367.1875,-48.96341000866141,1367.1875,-51.3754274044334,1367.1875,-54.81656801189531
1464.84375,-46.81836251632134,1464.84375,-50.53148302167354,1464.84375,-51.3584609138353
1562.5,-66.95086627518788,1562.5,-62.63478402131753,1562.5,-56.24408747772014
1660.15625,-65.17482162746268,1660.15625,-52.71391121421819,1660.15625,-62.76297320420721
1757.8125,-49.96339206519029,1757.8125,-57.36484765699351,1757.8125,-57.36305326386736
1855.46875,-57.47541886222881,1855.46875,-56.51224315058479,1855.46875,-77.39800556740751
1953.125,-68.20070885281046,1953.125,-45.14798502019951,1953.125,-57.09490944549668
2050.78125,-41.28054143326494,2050.78125,-40.07890847139607,2050.78125,-46.3720801540356
2148.4375,-52.66378847407189,2148.4375,-51.93795048037498,2148.4375,-60.53608659035832
2246.09375,-52.25621649725004,2246.09375,-58.95262589245392,2246.09375,-75.96794560342644
2343.75,-56.66007985100773,2343.75,-59.98656018197024,2343.75,-53.29740596363537
2441.40625,-55.86665195335719,2441.40625,-48.89689222064736,2441.40625,-69.16490848158044
2539.0625,-53.71925637213795,2539.0625,-52.2522777306161,2539.0625,-63.90949771239438
2636.71875,-51.58495973190444,2636.71875,-45.78645785512386,2636.71875,-55.46698203398884
2734.375,-57.73325237121256,2734.375,-50.84029516532993,2734.375,-53.19535068867584
2832.03125,-53.15012326638446,2832.03125,-48.98887863815743,2832.03125,-66.19004866659839
2929.6875,-50.89070693825011,2929.6875,-50.44936609198756,2929.6875,-58.66330787246606
3027.34375,-52.37424302809817,3027.34375,-56.9563178324601,3027.34375,-47.53170506039999
3125,-53.47102031180477,3125,-49.9760078751025,3125,-54.29776474335728
3222.65625,-57.61984224439075,3222.65625,-50.27932314416211,3222.65625,-66.04698199941124
3320.3125,-45.3464990950954,3320.3125,-48.49144011381824,3320.3125,-55.66464444185868
3417.96875,-47.77617903350941,3417.96875,-62.75540942248217,3417.96875,-54.70253075502475
3515.625,-67.00216667296534,3515.625,-58.18436852758043,3515.625,-56.71144815089255
3613.28125,-55.73747372889257,3613.28125,-57.05858952782275,3613.28125,-56.23695261151474
3710.9375,-57.42519371428246,3710.9375,-50.97087170804851,3710.9375,-50.27629799665822
3808.59375,-59.69077877557906,3808.59375,-53.16836257283786,3808.59375,-57.41793594900186
3906.25,-51.96619137928612,3906.25,-57.04661746501691,3906.25,-52.91011174613877
4003.90625,-55.85336544204603,4003.90625,-59.35687748113931,4003.90625,-53.15815592545144
4101.562499999999,-55.89647227687627,4101.562499999999,-52.30890590596174,4101.562499999999,-71.53697887824609
4199.218749999999,-49.36806752231875,4199.218749999999,-49.49628242051759,4199.218749999999,-57.78813057256023
4296.874999999999,-60.96512149158951,4296.874999999999,-52.72850308646761,4296.874999999999,-59.93411229780379
4394.531249999999,-63.43324987665459,4394.531249999999,-51.17510684403801,4394.531249999999,-49.38970729379921
4492.187499999999,-57.8574130877388,4492.187499999999,-54.51259222198417,4492.187499999999,-54.46335592198584
4589.843749999999,-47.76349784533102,4589.843749999999,-58.08419891597055,4589.843749999999,-57.46520284899962
4687.499999999999,-47.20351809419373,4687.499999999999,-62.88490300922342,4687.499999999999,-69.12955188956602
4785.156249999999,-56.02540083641451,4785.156249999999,-60.12785485782377,4785.156249999999,-58.19834717339667
4882.812499999999,-60.2262585562396,4882.812499999999,-48.1226176298512,4882.812499999999,-64.7759226908762
4980.468749999999,-60.21543648045272,4980.468749999999,-49.7293212419938,4980.468749999999,-71.46562724975743
5078.124999999999,-58.81723114573316,5078.124999999999,-57.56296572643082,5078.124999999999,-52.87401517299894
5175.781249999999,-53.58526331115102,5175.781249999999,-52.71760256460368,5175.781249999999,-48.91729918502896
5273.437499999999,-54.72190654776394,5273.437499999999,-56.50560068375447,5273.437499999999,-54.43069614877066
5371.093749999999,-57.68471817607777,5371.093749999999,-45.67614878975866,5371.093749999999,-48.59096696812047
5468.749999999999,-60.43297967651821,5468.749999999999,-55.03445720336447,5468.749999999999,-62.98591855544239
5566.406249999999,-52.93711597664792,5566.406249999999,-58.00420138601108,5566.406249999999,-53.35428975458348
5664.062499999999,-57.42422088331082,5664.062499999999,-51.92271117633339,5664.062499999999,-69.46687843855496
5761.718749999999,-56.17766505085817,5761.718749999999,-68.94902941825893,5761.718749999999,-59.2660274256596
5859.374999999999,-60.34368868753324,5859.374999999999,-52.43605038714364,5859.374999999999,-57.87810126979517
5957.031249999999,-46.92631172280493,5957.031249999999,-53.44879736921139,5957.031249999999,-53.64686612619917
6054.687499999999,-57.52189183666152,6054.687499999999,-49.32270964303796,6054.687499999999,-64.18362754821436
6152.343749999999,-49.87867649072206,6152.343749999999,-65.51592605266272,6152.343749999999,-56.27166193900482
6249.999999999999,-66.35040254654538,6249.999999999999,-54.60128856303982,6249.999999999999,-72.95980395047032
6347.656249999999,-60.16143103433485,6347.656249999999,-54.51771081500692,6347.656249999999,-67.99223250722493
6445.312499999999,-54.15458388871434,6445.312499999999,-52.25051899959232,6445.312499999999,-62.63304926084962
6542.968749999999,-47.57916717066152,6542.968749999999,-64.33344497196727,6542.968749999999,-52.03007446818152
6640.624999999999,-54.09911313105649,6640.624999999999,-46.7991973294331,6640.624999999999,-55.91692316026776
6738.281249999999,-50.69743299534979,6738.281249999999,-53.17694701018462,6738.281249999999,-47.7019900481078
6835.937499999999,-47.75221886068007,6835.937499999999,-53.74211178758038,6835.937499999999,-58.49286827853089
6933.593749999999,-52.08010737011427,6933.593749999999,-58.02520950814493,6933.593749999999,-55.38626641644034
7031.249999999999,-56.63830152488774,7031.249999999999,-60.53133088300537,7031.249999999999,-60.340527340134
7128.906249999999,-52.56644690529549,7128.906249999999,-56.341693235741,7128.906249999999,-51.68027082836161
7226.562499999999,-52.3278512260797,7226.562499999999,-54.88323653132056,7226.562499999999,-57.67901103213249
7324.218749999999,-55.76721129423761,7324.218749999999,-50.49271934301902,7324.218749999999,-55.13831308388275
7421.874999999999,-51.7221004585877,7421.874999999999,-53.82475766497286,7421.874999999999,-56.63228407056623
7519.531249999999,-52.05654716100683,7519.531249999999,-59.20589015551621,7519.531249999999,-59.12283524655935
7617.187499999999,-55.53868756520391,7617.187499999999,-50.40266314071037,7617.187499999999,-57.3851547946418
7714.843749999999,-61.81001075354821,7714.843749999999,-53.85560230526428,7714.843749999999,-45.77605657960844
7812.499999999999,-51.00412659877097,7812.499999999999,-48.08359411949731,7812.499999999999,-50.47488315373271
7910.156249999999,-50.53556634484088,7910.156249999999,-61.18384976912217,7910.156249999999,-56.26645511427972
8007.812499999999,-60.51307637510604,8007.812499999999,-69.4458793989391,8007.812499999999,-50.79984389688447
