spectrum_Out X,spectrum_Out Y,spectrum_ve X,spectrum_ve Y,spectrum_vin X,spectrum_vin Y
0,42.14433192810401,0,-107.386437983696,0,-300.598251692904
97.65624999999999,-59.5339917591227,97.65624999999999,-112.7350305249601,97.65624999999999,-291.7934199022649
195.3125,-68.07446143165357,195.3125,-121.2755001539696,195.3125,-287.1788540712791
292.9687499999999,-54.45508867758332,292.9687499999999,-107.6561274572905,292.9687499999999,-282.4319040655996
390.6249999999999,-55.27687518468469,390.6249999999999,-108.4779139595794,390.6249999999999,-277.756329079785
488.2812499999999,-55.32254134095112,488.2812499999999,-108.5235801329057,488.2812499999999,-272.7012127681332
585.9374999999999,-70.63574460283256,585.9374999999999,-123.8367839147433,585.9374999999999,-265.5814205165544
683.5937499999999,39.22247388498003,683.5937499999999,-44.4345485904854,683.5937499999999,-13.97940008672023
781.2499999999999,-51.53201223272012,781.2499999999999,-104.733051087564,781.2499999999999,-264.5278291307544
878.9062499999999,-56.61020072610854,878.9062499999999,-109.8112394220499,878.9062499999999,-270.4179739594476
976.5624999999999,-51.48300075505109,976.5624999999999,-104.6840394999011,976.5624999999999,-273.9048303350789
1074.21875,-54.01124356623196,1074.21875,-107.2122823059348,1074.21875,-276.4272596340113
1171.875,-61.95356986536914,1171.875,-115.1546085712914,1171.875,-278.2974496910023
1269.53125,-54.56666192479262,1269.53125,-107.7677006824831,1269.53125,-279.6551161602854
1367.1875,-54.81656801189531,1367.1875,-108.0176067876647,1367.1875,-280.7204132608787
1464.84375,-51.3584609138353,1464.84375,-104.5594996852157,1464.84375,-281.5802889350481
1562.5,-56.24408747772014,1562.5,-109.4451262307843,1562.5,-282.3209982804681
1660.15625,-62.76297320420721,1660.15625,-115.9640119567578,1660.15625,-283.0380908667885
1757.8125,-57.36305326386736,1757.8125,-110.5640920159648,1757.8125,-283.7660733421393
1855.46875,-77.39800556740751,1855.46875,-130.599044474317,1855.46875,-284.4459181445727
1953.125,-57.09490944549668,1953.125,-110.2959481957819,1953.125,-285.0734480162635
2050.78125,-46.3720801540356,2050.78125,-99.57311891606233,2050.78125,-285.6643425069475
2148.4375,-60.53608659035832,2148.4375,-113.737125337051,2148.4375,-286.1552826152063
2246.09375,-75.96794560342644,2246.09375,-129.1689843046712,2246.09375,-286.5689862418216
2343.75,-53.29740596363537,2343.75,-106.4984447221756,2343.75,-286.9867934928269
2441.40625,-69.16490848158044,2441.40625,-122.3659472934835,2441.40625,-287.3783878335358
2539.0625,-63.90949771239438,2539.0625,-117.1105364535666,2539.0625,-287.7624585726583
2636.71875,-55.46698203398884,2636.71875,-108.6680207970065,2636.71875,-288.1550678368309
2734.375,-53.19535068867584,2734.375,-106.3963894577989,2734.375,-288.5802623206191
2832.03125,-66.19004866659839,2832.03125,-119.3910874172943,2832.03125,-288.909704212851
2929.6875,-58.66330787246606,2929.6875,-111.8643466322638,2929.6875,-289.2658443436587
3027.34375,-47.53170506039999,3027.34375,-100.7327438266769,3027.34375,-289.5658383114588
3125,-54.29776474335728,3125,-107.4988035032426,3125,-289.8355833528753
3222.65625,-66.04698199941124,3222.65625,-119.2480207891997,3222.65625,-290.1081581523582
