CodeP X,CodeP Y,CodeN X,CodeN Y
0,128.0000159039348,0,128.0000159038869
5e-06,128.0000159039743,5e-06,128.0000159039126
1e-05,128.0000159039322,1e-05,128.0000159038997
1.5e-05,129.0000156568663,1.5e-05,126.9999314048094
2e-05,130.0000154207534,2e-05,125.9999937621236
2.5e-05,130.0000154230786,2.5e-05,126.0000163609539
3e-05,132.000047136721,3e-05,123.999989530921
3.5e-05,133.0000201354217,3.5e-05,123.000023812382
4e-05,133.0000132647761,4e-05,122.9999735959547
4.5e-05,133.9999966112122,4.5e-05,121.9999952164324
5e-05,135.0002767310638,5e-05,120.9998891956783
5.5e-05,136.0000139714284,5.5e-05,120.0000178316142
6e-05,136.0000139728791,6e-05,119.9999983164834
6.500000000000001e-05,137.0000137440108,6.500000000000001e-05,118.9997510695446
7.000000000000001e-05,138.0000134971594,7.000000000000001e-05,117.9995480845649
7.500000000000001e-05,138.0000005395327,7.500000000000001e-05,118.0001384183813
8.000000000000001e-05,140.0002188760014,8.000000000000001e-05,115.9994172146533
8.500000000000001e-05,141.0006704297512,8.500000000000001e-05,114.9992711607829
9.000000000000001e-05,141.0000127727447,9.000000000000001e-05,114.9998445155501
9.500000000000001e-05,141.0000127681211,9.500000000000001e-05,115.0000492602021
0.0001,143.0010035287119,0.0001,112.9997834368495
0.000105,145.0000117945949,0.000105,111.0000199174674
0.00011,144.0000120557415,0.00011,112.0000196913459
0.000115,143.000011287052,0.000115,113.0000207761667
0.00012,146.0000269230619,0.00012,110.000563810528
0.000125,148.0000110816245,0.000125,108.0000360388067
0.00013,147.0000222995199,0.00013,108.9999521255966
0.000135,148.0000110919574,0.000135,107.9996888559539
0.00014,149.0018205238999,0.00014,106.9996711438042
0.0001450000000000001,150.0018203381071,0.0001450000000000001,106.0000211829335
0.0001500000000000001,150.000097502611,0.0001500000000000001,106.0000231263367
0.0001550000000000001,151.0000112680932,0.0001550000000000001,105.0000377714627
0.0001600000000000001,152.0000101199513,0.0001600000000000001,104.0001828590107
0.0001650000000000001,154.0000096473061,0.0001650000000000001,102.0000220571495
0.0001700000000000001,153.0000098864173,0.0001700000000000001,103.0000220299589
0.0001750000000000001,154.0000108373025,0.0001750000000000001,102.0001372044805
0.0001800000000000001,154.0000037838978,0.0001800000000000001,102.0000221622928
0.0001850000000000002,157.0000617044189,0.0001850000000000002,99.00002288144788
0.0001900000000000002,157.0000235536151,0.0001900000000000002,99.00002547217305
0.0001950000000000002,157.0000019714438,0.0001950000000000002,98.99994058461871
0.0002000000000000002,158.0000015195863,0.0002000000000000002,98.00002312202821
0.0002050000000000002,159.0000102251547,0.0002050000000000002,97.00002334115267
0.0002100000000000002,160.0000553607248,0.0002100000000000002,96.00002361092685
0.0002150000000000002,161.0001213905947,0.0002150000000000002,94.99975873181752
0.0002200000000000003,160.0012206783851,0.0002200000000000003,96.00039333151031
0.0002250000000000003,161.0000079290601,0.0002250000000000003,95.0007442614759
0.0002300000000000003,163.0000074859789,0.0002300000000000003,93.00002429767818
0.0002350000000000003,164.0000072394316,0.0002350000000000003,92.00000814807488
0.0002400000000000003,165.0000067878957,0.0002400000000000003,91.00002506070199
0.0002450000000000003,164.9999908287893,0.0002450000000000003,91.00002758800156
0.0002500000000000003,164.0003692217206,0.0002500000000000003,92.00003339441027
0.0002550000000000003,167.0004770973092,0.0002550000000000003,88.99979277598544
0.0002600000000000004,166.9999981069833,0.0002600000000000004,89.00002528553473
0.0002650000000000004,168.0000240192328,0.0002650000000000004,88.00007477897024
0.0002700000000000004,169.0000635675649,0.0002700000000000004,86.99861821231364
0.0002750000000000004,169.0000402633146,0.0002750000000000004,86.9985873057707
0.0002800000000000004,170.0000510361894,0.0002800000000000004,85.9990709573899
0.0002850000000000004,169.0000060401821,0.0002850000000000004,87.00004181926052
0.0002900000000000004,173.0000053924856,0.0002900000000000004,83.00005250317889
0.0002950000000000004,172.9999475158477,0.0002950000000000004,83.00002670097665
0.0003000000000000005,172.0000053214843,0.0003000000000000005,83.99915650695088
0.0003050000000000005,172.9999626126499,0.0003050000000000005,82.99928816992798
0.0003100000000000005,174.9999976761239,0.0003100000000000005,80.99971845612221
0.0003150000000000005,174.9999761477507,0.0003150000000000005,80.99976148151596
0.0003200000000000005,176.0000920061624,0.0003200000000000005,80.00002744413702
0.0003250000000000005,176.0000298933247,0.0003250000000000005,80.00004359467148
0.0003300000000000005,177.000004109916,0.0003300000000000005,79.00002760100041
0.0003350000000000006,176.0000043720126,0.0003350000000000006,80.00021999897922
0.0003400000000000006,180.0000315120356,0.0003400000000000006,75.99724411956379
0.0003450000000000006,181.0000031599638,0.0003450000000000006,74.99711684376221
0.0003500000000000006,179.0000034799165,0.0003500000000000006,76.99711638908742
0.0003550000000000006,179.000003483173,0.0003550000000000006,77.00002823241056
0.0003600000000000006,181.9999961157634,0.0003600000000000006,74.00002996383715
0.0003650000000000006,182.9999770556165,0.0003650000000000006,73.00002733434975
0.0003700000000000006,180.999994710108,0.0003700000000000006,74.99990270063864
0.0003750000000000007,183.9999872499406,0.0003750000000000007,71.99993320909847
0.0003800000000000007,184.0001250964853,0.0003800000000000007,72.00004661948365
0.0003850000000000007,182.9990946431144,0.0003850000000000007,72.99996967771746
0.0003900000000000007,186.9999459567788,0.0003900000000000007,68.99970936995983
0.0003950000000000007,186.0000389167545,0.0003950000000000007,70.00055097458058
0.0004000000000000007,184.999545298473,0.0004000000000000007,71.00069046425097
0.0004050000000000007,187.9999990747459,0.0004050000000000007,68.00003045422434
