spectrum_ve (va=0.02) X,spectrum_ve (va=0.02) Y,spectrum_ve (va=0.05) X,spectrum_ve (va=0.05) Y,spectrum_ve (va=0.1) X,spectrum_ve (va=0.1) Y
4882.812499999999,-113.4272973233818,4882.812499999999,-101.3236563967219,4882.812499999999,-117.97696145627
4980.468749999999,-113.4164752467613,4980.468749999999,-102.9303600072464,4980.468749999999,-124.6666660267689
5078.124999999999,-112.0182699120387,5078.124999999999,-110.7640044920297,5078.124999999999,-106.0750539399905
5175.781249999999,-106.7863020773195,5175.781249999999,-105.9186413300804,5175.781249999999,-102.1183379490577
5273.437499999999,-107.9229453132353,5273.437499999999,-109.7066394486982,5273.437499999999,-107.6317349166267
5371.093749999999,-110.8857569429176,5371.093749999999,-98.87718755572578,5371.093749999999,-101.7920057346476
5468.749999999999,-113.6340184423415,5468.749999999999,-108.235495970291,5468.749999999999,-116.1869573126513
5566.406249999999,-106.1381547433436,5566.406249999999,-111.2052401548645,5566.406249999999,-106.5553285208752
5664.062499999999,-110.625259649002,5664.062499999999,-105.1237499432612,5664.062499999999,-122.6679171873734
5761.718749999999,-109.3787038161077,5761.718749999999,-122.1500681902632,5761.718749999999,-112.4670661868148
5859.374999999999,-113.5447274549634,5859.374999999999,-105.6370891538525,5859.374999999999,-111.079140031439
5957.031249999999,-100.1273504886611,5957.031249999999,-106.6498361343147,5957.031249999999,-106.8479048935718
6054.687499999999,-110.7229306024508,6054.687499999999,-102.5237484097877,6054.687499999999,-117.3846663149928
6152.343749999999,-103.0797152565017,6152.343749999999,-118.7169648131317,6152.343749999999,-109.4727007028284
6249.999999999999,-119.5514413109074,6249.999999999999,-107.8023273275537,6249.999999999999,-126.160842730588
6347.656249999999,-113.3624698008164,6347.656249999999,-107.7187495802491,6347.656249999999,-121.1932712841806
6445.312499999999,-107.3556226545527,6445.312499999999,-105.4515577645703,6445.312499999999,-115.834088031695
6542.968749999999,-100.7802059367621,6542.968749999999,-117.5344837389154,6542.968749999999,-105.2311132362236
6640.624999999999,-107.3001518965804,6640.624999999999,-100.0002360957919,6640.624999999999,-109.1179619252531
6738.281249999999,-103.8984717618339,6738.281249999999,-106.3779857772883,6738.281249999999,-100.9030288146082
6835.937499999999,-100.9532576265219,6835.937499999999,-106.9431505541674,6835.937499999999,-111.6939070431067
6933.593749999999,-105.2811461361991,6933.593749999999,-111.2262482720543,6933.593749999999,-108.5873051857921
7031.249999999999,-109.8393402916936,7031.249999999999,-113.7323696491819,7031.249999999999,-113.5415661111432
7128.906249999999,-105.7674856710351,7128.906249999999,-109.542732000084,7128.906249999999,-104.8813095964668
7226.562499999999,-105.5288899923513,7226.562499999999,-108.0842752988721,7226.562499999999,-110.8800497992925
7324.218749999999,-108.9682500597976,7324.218749999999,-103.6937581095963,7324.218749999999,-108.3393518472009
7421.874999999999,-104.9231392247384,7421.874999999999,-107.0257964322834,7421.874999999999,-109.8333228331771
7519.531249999999,-105.257585926792,7519.531249999999,-112.4069289236891,7519.531249999999,-112.3238740111037
7617.187499999999,-108.739726330967,7617.187499999999,-103.6037019069219,7617.187499999999,-110.5861935629429
7714.843749999999,-115.0110495206594,7714.843749999999,-107.0566410701742,7714.843749999999,-98.97709534538581
7812.499999999999,-104.2051653647657,7812.499999999999,-101.2846328852179,7812.499999999999,-103.6759219200952
7910.156249999999,-103.7366051108061,7910.156249999999,-114.3848885341921,7910.156249999999,-109.4674938794259
8007.812499999999,-113.7141151404598,8007.812499999999,-122.6469181706974,8007.812499999999,-104.0008826626722
8105.468749999999,-107.1752152578502,8105.468749999999,-117.0784635706372,8105.468749999999,-109.2357487163279
8203.124999999998,-100.7291954804877,8203.124999999998,-101.3240812869081,8203.124999999998,-111.5763132815198
8300.781249999998,-108.6511305928016,8300.781249999998,-102.3295318028292,8300.781249999998,-108.5520631279813
8398.437499999998,-104.1860112149873,8398.437499999998,-111.928841077578,8398.437499999998,-105.3090050722961
8496.093749999998,-99.42603454802139,8496.093749999998,-102.6130123784834,8496.093749999998,-118.152145377047
8593.749999999998,-105.4188689682208,8593.749999999998,-106.6955748674813,8593.749999999998,-100.2991761933604
8691.406249999998,-107.4161980951084,8691.406249999998,-103.7324162568425,8691.406249999998,-102.8012051620952
8789.062499999998,-100.5452268902081,8789.062499999998,-103.4704068925306,8789.062499999998,-113.0192008451876
8886.718749999998,-120.0125114167339,8886.718749999998,-104.4834584669641,8886.718749999998,-131.6532324521652
8984.374999999998,-111.6783718732284,8984.374999999998,-107.999327547423,8984.374999999998,-101.4877507558943
9082.031249999998,-107.9015769082666,9082.031249999998,-107.934788421763,9082.031249999998,-101.2871724237361
9179.687499999998,-104.2955355422164,9179.687499999998,-111.7898844501667,9179.687499999998,-101.498840999126
9277.343749999998,-110.1527500403503,9277.343749999998,-110.7530608024784,9277.343749999998,-104.9342970127228
9374.999999999998,-103.651214411456,9374.999999999998,-115.4959603274438,9374.999999999998,-110.810280826622
9472.656249999998,-107.1908414040846,9472.656249999998,-104.5592150038134,9472.656249999998,-102.7789671894788
