spectrum_Out X,spectrum_Out Y,spectrum_vin X,spectrum_vin Y,spectrum_ve X,spectrum_ve Y
0,42.14411655746432,0,-295.6368716365641,0,-111.4688377037262
48.82812500000001,-62.94469885022713,48.82812500000001,-282.1567784117446,48.82812500000001,-116.1457376222741
97.65625000000001,-51.05848023179238,97.65625000000001,-278.4718138236814,97.65625000000001,-104.2595189918325
146.484375,-65.89291836094931,146.484375,-278.8878804038054,146.484375,-119.0939571654241
195.3125,-57.75550207104661,195.3125,-271.3660162608925,195.3125,-110.956540789223
244.140625,-57.73387759739541,244.140625,-264.0704467022576,244.140625,-110.9349161760551
292.9687500000001,-59.39478730030351,292.9687500000001,-259.3560396166041,292.9687500000001,-112.5958257056621
341.7968750000001,39.22119074770642,341.7968750000001,-13.97940008672065,341.7968750000001,-50.44817631782536
390.6250000000001,-53.11456938561484,390.6250000000001,-259.1103879919485,390.6250000000001,-106.3156080380325
439.4531250000001,-50.07433530022521,439.4531250000001,-262.5767551599573,439.4531250000001,-103.2753740028052
488.2812500000001,-54.46910133955913,488.2812500000001,-267.9248339699346,488.2812500000001,-107.6701401754959
537.1093750000001,-58.14864538169373,537.1093750000001,-272.1915552327107,537.1093750000001,-111.3496842195159
585.9375000000001,-51.27967606751055,585.9375000000001,-271.7978294400033,585.9375000000001,-104.4807147993386
634.7656250000001,-53.25332812076364,634.7656250000001,-273.1989132079438,634.7656250000001,-106.4543668844216
683.5937500000001,-49.72812212658584,683.5937500000001,-275.6015825842235,683.5937500000001,-102.9291608932668
732.4218750000001,-53.08584312695846,732.4218750000001,-275.7494361166476,732.4218750000001,-106.2868819136443
781.2500000000001,-51.04016664566799,781.2500000000001,-276.2318693753542,781.2500000000001,-104.2412054318637
830.0781250000001,-55.1612760044635,830.0781250000001,-277.8290803486534,830.0781250000001,-108.3623147460528
878.9062500000001,-55.89893738476845,878.9062500000001,-278.2533531389402,878.9062500000001,-109.0999761211142
