vin X,vin Y,vout X,vout Y
0,-2.83276944882399e-17,0,0
5e-06,0.0004209997835861783,5e-06,0
1e-05,0.000842835764800826,1e-05,0.00078125
1.5e-05,0.001264656747525404,1.5e-05,0
2e-05,0.001686455225341542,2e-05,0.00078125
2.5e-05,0.002108223692231442,2.5e-05,0.00078125
3e-05,0.002529954642711266,3e-05,0.0015625
3.5e-05,0.002951640571964883,3.5e-05,0.00234375
4e-05,0.003373273975977236,4e-05,0.0015625
4.5e-05,0.003794847351668057,4.5e-05,0.003125
5e-05,0.004216353197025211,5e-05,0.00234375
5.5e-05,0.004637784011238372,5.5e-05,0.00390625
6e-05,0.005059132294832327,6e-05,0.003125
6.500000000000001e-05,0.005480390549800601,6.500000000000001e-05,0.003125
7.000000000000001e-05,0.005901551279738761,7.000000000000001e-05,0.004687500000000001
7.500000000000001e-05,0.006322606989977773,7.500000000000001e-05,0.00390625
8.000000000000001e-05,0.00674355018771767,8.000000000000001e-05,0.004687500000000001
8.500000000000001e-05,0.007164373382160421,8.500000000000001e-05,0.005468750000000001
9.000000000000001e-05,0.007585069084643696,9.000000000000001e-05,0.005468750000000001
9.500000000000001e-05,0.00800562980877384,9.500000000000001e-05,0.00625
0.0001,0.008426048070559123,0.0001,0.005468750000000001
0.000105,0.008846316388543066,0.000105,0.00703125
0.00011,0.009266427283937381,0.00011,0.00625
0.000115,0.009686373280755261,0.000115,0.00703125
0.00012,0.01010614690594421,0.00012,0.00703125
0.000125,0.01052574068951924,0.000125,0.0078125
0.00013,0.01094514716469558,0.00013,0.008593750000000001
0.000135,0.01136435886802176,0.000135,0.0078125
0.00014,0.01178336833951225,0.00014,0.009375000000000001
0.0001450000000000001,0.01220216812278037,0.0001450000000000001,0.008593750000000001
0.0001500000000000001,0.01262075076517081,0.0001500000000000001,0.009375000000000001
0.0001550000000000001,0.01303910881789246,0.0001550000000000001,0.01015625
0.0001600000000000001,0.01345723483615065,0.0001600000000000001,0.009375000000000001
0.0001650000000000001,0.01387512137928007,0.0001650000000000001,0.01015625
0.0001700000000000001,0.0142927610108767,0.0001700000000000001,0.0109375
0.0001750000000000001,0.0147101462989306,0.0001750000000000001,0.0109375
0.0001800000000000001,0.01512726981595771,0.0001800000000000001,0.0109375
0.0001850000000000002,0.01554412413913248,0.0001850000000000002,0.0125
0.0001900000000000002,0.01596070185041961,0.0001900000000000002,0.01171875
0.0001950000000000002,0.01637699553670614,0.0001950000000000002,0.01171875
0.0002000000000000002,0.01679299778993351,0.0002000000000000002,0.01328125
0.0002050000000000002,0.01720870120722931,0.0002050000000000002,0.0125
0.0002100000000000002,0.01762409839103894,0.0002100000000000002,0.0140625
0.0002150000000000002,0.01803918194925722,0.0002150000000000002,0.0125
0.0002200000000000003,0.01845394449536016,0.0002200000000000003,0.0140625
0.0002250000000000003,0.01886837864853627,0.0002250000000000003,0.0140625
0.0002300000000000003,0.01928247703381784,0.0002300000000000003,0.015625
0.0002350000000000003,0.01969623228221218,0.0002350000000000003,0.0140625
0.0002400000000000003,0.02010963703083296,0.0002400000000000003,0.015625
0.0002450000000000003,0.02052268392303094,0.0002450000000000003,0.015625
0.0002500000000000003,0.02093536560852522,0.0002500000000000003,0.015625
0.0002550000000000003,0.02134767474353363,0.0002550000000000003,0.01640625
0.0002600000000000004,0.02175960399090381,0.0002600000000000004,0.01640625
0.0002650000000000004,0.02217114602024346,0.0002650000000000004,0.01640625
0.0002700000000000004,0.02258229350805113,0.0002700000000000004,0.0171875
0.0002750000000000004,0.0229930391378461,0.0002750000000000004,0.01796875
0.0002800000000000004,0.02340337560029902,0.0002800000000000004,0.01796875
0.0002850000000000004,0.02381329559336163,0.0002850000000000004,0.01796875
0.0002900000000000004,0.02422279182239704,0.0002900000000000004,0.01796875
0.0002950000000000004,0.02463185700030913,0.0002950000000000004,0.01953125
0.0003000000000000005,0.02504048384767266,0.0003000000000000005,0.01875
0.0003050000000000005,0.02544866509286241,0.0003050000000000005,0.01875
0.0003100000000000005,0.025856393472183,0.0003100000000000005,0.0203125
0.0003150000000000005,0.02626366172999766,0.0003150000000000005,0.0203125
0.0003200000000000005,0.02667046261885783,0.0003200000000000005,0.0203125
0.0003250000000000005,0.02707678889963173,0.0003250000000000005,0.0203125
0.0003300000000000005,0.02748263334163351,0.0003300000000000005,0.02109375
0.0003350000000000006,0.02788798872275166,0.0003350000000000006,0.02109375
0.0003400000000000006,0.02829284782957771,0.0003400000000000006,0.02109375
0.0003450000000000006,0.02869720345753448,0.0003450000000000006,0.021875
0.0003500000000000006,0.02910104841100437,0.0003500000000000006,0.0234375
0.0003550000000000006,0.02950437550345732,0.0003550000000000006,0.021875
0.0003600000000000006,0.02990717755757882,0.0003600000000000006,0.02265625
0.0003650000000000006,0.03030944740539747,0.0003650000000000006,0.0234375
0.0003700000000000006,0.0307111778884127,0.0003700000000000006,0.0234375
0.0003750000000000007,0.03111236185772204,0.0003750000000000007,0.0234375
0.0003800000000000007,0.03151299217414842,0.0003800000000000007,0.025
0.0003850000000000007,0.03191306170836711,0.0003850000000000007,0.0234375
0.0003900000000000007,0.03231256334103276,0.0003900000000000007,0.025
0.0003950000000000007,0.03271148996290575,0.0003950000000000007,0.025
0.0004000000000000007,0.03310983447497924,0.0004000000000000007,0.02578125
0.0004050000000000007,0.03350758978860498,0.0004050000000000007,0.02578125
0.0004100000000000008,0.03390474882561981,0.0004100000000000008,0.02578125
0.0004150000000000008,0.0343013045184712,0.0004150000000000008,0.0265625
0.0004200000000000008,0.03469724981034368,0.0004200000000000008,0.0265625
